dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit
0.0003937667365900809,0.0,0.0,0.0,0.005074749691400356,0.007613247049866769,0.0002477516178170286,0.002850109423087834,0.003259121337890625,0.00026304325507198954,0.2982697553583802,0.0019214932747735382,0.0049486105824134,1.0498429791052618e-05,1.1790208494360664e-05,4.7495471102707685e-05
0.058706759682990974,0.0,0.0,0.0,0.0012343985735838703,0.0015226494099733537,5.945210226880201e-05,4.9962302454842686e-05,4.826248168945312e-06,4.146976171363711e-07,3.1497503564842053e-05,0.0005489980785067252,0.00038066235249333843,0.0065228353652026306,0.009832220167630516,0.02428301818286342
1.8333336973330703e-07,0.0,0.0,0.0,0.0001371553970648745,0.0,7.043106192122887e-06,0.0,0.09090909374999999,0.013564968586387435,0.0,0.0,0.0,1.8332948910453902e-07,0.0,0.0
0.0003259667196230195,0.0,0.0,0.0,0.0020573309559731175,0.0034259611724400457,0.00015474118604458223,0.00023202831987503215,0.0016872891845703124,0.00019327664839659687,0.028418473156025782,0.0010979961570134504,0.0015226494099733537,2.1370668235925287e-05,2.2455200659101362e-05,7.548514756651593e-05
6.666667921400946e-08,0.0,0.0,0.0,0.0001371553970648745,0.0,0.0001624057427830689,0.0,0.25,0.5281413612565445,0.0,0.0,0.0,6.666527229294999e-08,0.0,0.0
1.6666669803502366e-08,0.0,0.0,0.0,0.0001371553970648745,0.0,7.043106192122887e-06,0.0,1.0,0.1492146596858639,0.0,0.0,0.0,1.6666318073237497e-08,0.0,0.0
5.000001130528809e-08,0.0,0.0,0.0,0.0001371553970648745,0.0,7.043106192122887e-06,0.0,0.3333333125,0.04973821989528796,0.0,0.0,0.0,4.99989522794978e-08,0.0,0.0
0.01086698580430078,0.0,0.0,0.0,0.0012343985735838703,0.0011419870574800152,5.054464443758777e-05,3.782456796016339e-05,2.3005464553833008e-05,1.931174233321744e-06,0.00012295365433903372,0.0005489980785067252,0.00038066235249333843,0.0011250819542552558,0.002191830468114749,0.003475989096938459
1.8333336973330703e-07,0.0,0.0,0.0,0.0001371553970648745,0.0,7.043106192122887e-06,0.0,0.09090909374999999,0.013564968586387435,0.0,0.0,0.0,1.8332948910453902e-07,0.0,0.0
0.008850784797818145,0.0,0.0,0.0,0.0017830201618433683,0.00723258469737343,9.881063687184168e-05,0.006393198803953289,9.603669738769531e-05,4.579514109027324e-06,0.029724764532977732,0.0005489980785067252,0.0064712599923867535,0.0006795498487718877,0.0002817771409432701,0.002164127280422144
6.666667921400946e-08,0.0,0.0,0.0,0.0001371553970648745,0.0,7.043106192122887e-06,0.0,0.25,0.03730366492146597,0.0,0.0,0.0,6.666527229294999e-08,0.0,0.0
5.500001091999211e-07,0.0,0.0,0.0,0.0001371553970648745,0.0,7.043106192122887e-06,0.0,0.030303029296875,0.004521656413612566,0.0,0.0,0.0,5.49988467313617e-07,0.0,0.0
8.333334712273084e-08,0.0,0.0,0.0,0.0001371553970648745,0.0,7.043106192122887e-06,0.0,0.19999999999999998,0.029842931937172777,0.0,0.0,0.0,8.333158454554341e-08,0.0,0.0
0.02406938733788567,0.0,0.0,0.0,0.007817857632697846,0.002664636467453369,0.007032437957743641,8.637550593888058e-05,4.9163425445556636e-05,0.00012103606634489529,0.00014100994922641675,0.007136975020587428,0.00038066235249333843,0.0004224649557415691,0.0020981001042593094,0.0023778421597653275
